record_id,state,county,census_block,provider_id,provider_name,technology_code,technology_name,max_down_mbps,max_up_mbps,consumer,business,low_income_area,rural_flag,population_served,median_income,report_date
FCC-0000001,NJ,County_92,317065116,PRVDR-120,AT&T,50,Fiber,25,5,1,1,0,0,33235,137425,2024-06-02
FCC-0000002,MI,County_6,927960528,PRVDR-555,Verizon,40,Cable,25,10,1,1,0,1,17509,88702,2024-07-30
FCC-0000003,NY,County_83,317523284,PRVDR-247,Spectrum,300,LTE,500,5,0,1,0,0,4890,82344,2023-06-27
FCC-0000004,AZ,County_90,873112895,PRVDR-195,T-Mobile,40,Cable,50,50,0,1,1,1,23099,32851,2024-04-07
FCC-0000005,FL,County_84,832542590,PRVDR-452,AT&T,301,5G NR,25,50,1,0,0,0,14437,52653,2023-01-31
FCC-0000006,NJ,County_80,829912480,PRVDR-603,Optimum,40,Cable,100,100,1,1,0,0,46012,117919,2023-05-31
FCC-0000007,NC,County_47,116155323,PRVDR-396,Verizon,40,Cable,50,3,1,1,0,0,13738,56347,2023-09-16
FCC-0000008,NC,County_3,162513748,PRVDR-561,Optimum,50,Fiber,250,100,1,0,0,1,43662,109404,2024-05-03
FCC-0000009,NJ,County_55,910152088,PRVDR-382,T-Mobile,50,Fiber,100,10,1,0,0,0,45921,61003,2024-07-12
FCC-0000010,WA,County_60,436820704,PRVDR-936,AT&T,301,5G NR,100,5,0,0,0,0,23851,69994,2023-10-30
FCC-0000011,MA,County_66,591816845,PRVDR-521,Optimum,300,LTE,25,100,1,1,0,0,9527,67652,2024-07-22
FCC-0000012,GA,County_10,527260750,PRVDR-144,Verizon,300,LTE,500,25,1,0,0,0,38434,74057,2023-02-23
FCC-0000013,GA,County_2,486817923,PRVDR-199,AT&T,10,DSL,250,100,0,1,0,1,13483,124735,2024-06-09
FCC-0000014,OH,County_97,448177845,PRVDR-643,Spectrum,300,LTE,250,50,0,1,0,0,14528,68160,2023-12-04
FCC-0000015,MA,County_60,850509215,PRVDR-140,Optimum,10,DSL,1000,100,0,0,1,1,29641,25015,2024-10-01
FCC-0000016,TX,County_72,980551261,PRVDR-920,Verizon,301,5G NR,50,50,1,1,0,1,14634,117124,2023-06-02
FCC-0000017,NY,County_68,237626278,PRVDR-479,Verizon,40,Cable,50,3,1,1,0,0,30875,80847,2023-09-17
FCC-0000018,VA,County_15,465082888,PRVDR-251,T-Mobile,300,LTE,250,5,1,0,0,0,26871,53540,2023-01-30
FCC-0000019,VA,County_11,384986798,PRVDR-166,Verizon,70,Fixed Wireless,250,5,1,0,0,1,12657,114671,2023-04-22
FCC-0000020,PA,County_65,263545367,PRVDR-350,T-Mobile,10,DSL,250,50,1,1,0,0,35153,52085,2024-07-14
FCC-0000021,TX,County_58,185439564,PRVDR-926,Verizon,70,Fixed Wireless,100,50,1,0,0,0,1320,70357,2024-12-30
FCC-0000022,TX,County_40,864801530,PRVDR-352,AT&T,301,5G NR,50,5,0,1,0,1,24652,58470,2023-04-27
FCC-0000023,IL,County_95,832333969,PRVDR-382,AT&T,40,Cable,500,3,0,1,0,1,13030,129212,2024-03-18
FCC-0000024,NC,County_22,664724933,PRVDR-873,Spectrum,70,Fixed Wireless,250,25,0,0,0,1,29624,83979,2024-04-05
FCC-0000025,MI,County_21,664843774,PRVDR-323,T-Mobile,301,5G NR,50,3,0,1,1,0,48383,42026,2023-07-18
FCC-0000026,NJ,County_36,604172694,PRVDR-653,Spectrum,10,DSL,100,50,1,0,0,0,45014,146058,2024-07-28
FCC-0000027,FL,County_7,119149941,PRVDR-397,T-Mobile,40,Cable,1000,50,1,0,0,0,44841,115931,2023-02-12
FCC-0000028,GA,County_28,990987897,PRVDR-469,T-Mobile,301,5G NR,250,100,0,0,0,0,21177,91800,2023-01-12
FCC-0000029,CA,County_44,200848173,PRVDR-102,AT&T,70,Fixed Wireless,25,10,1,0,0,1,41074,130730,2024-11-16
FCC-0000030,VA,County_91,426278040,PRVDR-110,T-Mobile,301,5G NR,1000,5,0,0,0,1,18799,85841,2024-06-24
FCC-0000031,WA,County_56,468511610,PRVDR-502,Optimum,10,DSL,250,10,0,0,0,1,8009,116404,2023-03-26
FCC-0000032,NC,County_9,541728459,PRVDR-476,Optimum,40,Cable,25,5,1,0,0,0,35588,74053,2023-07-16
FCC-0000033,IL,County_80,849036988,PRVDR-163,Optimum,301,5G NR,500,25,1,0,1,0,15293,37611,2024-08-23
FCC-0000034,NC,County_97,284425935,PRVDR-254,Spectrum,301,5G NR,50,5,0,1,1,0,192,49024,2024-01-27
FCC-0000035,MA,County_88,941502716,PRVDR-377,T-Mobile,301,5G NR,100,10,1,1,0,0,9260,95303,2024-07-23
FCC-0000036,FL,County_44,269367960,PRVDR-314,Optimum,50,Fiber,50,100,1,1,0,1,254,149417,2024-11-20
FCC-0000037,NY,County_91,154278461,PRVDR-939,T-Mobile,40,Cable,250,25,0,0,0,0,38009,77694,2023-04-12
FCC-0000038,AZ,County_25,665358470,PRVDR-709,Spectrum,50,Fiber,25,3,0,1,0,1,5288,118993,2024-12-27
