reading_id,sensor_id,sensor_type,zone,latitude,longitude,timestamp,temperature_c,humidity_pct,traffic_count,pedestrian_count,energy_kwh,water_liters,air_quality_index,noise_db,parking_occupancy_pct,battery_pct,signal_strength_dbm,anomaly_flag,data_quality_score
IOT-0000001,SENS-0139,water,Commercial,40.72408,-73.877999,2024-12-30 07:08:21,23.88,29.8,85,150,42.72,334.2,54,32.9,37.4,13.1,-82,0,0.71
IOT-0000002,SENS-0028,pedestrian,Commercial,40.623212,-74.161872,2023-12-16 15:14:18,14.84,44.7,400,166,26.437,41.2,236,81.2,64.0,95.8,-92,1,0.75
IOT-0000003,SENS-0375,traffic,Mixed Use,40.630536,-74.129719,2024-05-31 07:34:55,14.2,92.8,416,115,16.912,704.0,143,54.4,1.1,62.2,-44,0,0.81
IOT-0000004,SENS-0333,energy,Green,40.766184,-73.89916,2023-08-14 19:55:20,11.77,28.4,49,16,9.294,323.2,243,59.0,88.3,97.3,-42,1,0.97
IOT-0000005,SENS-0171,noise,Government,40.543837,-73.950589,2023-05-08 03:11:37,,61.4,143,129,3.41,751.0,24,35.0,4.9,71.3,-45,0,0.72
IOT-0000006,SENS-0398,temperature,Mixed Use,40.880381,-73.798587,2023-07-11 05:08:07,22.6,39.0,441,92,,504.4,269,40.7,68.7,74.6,-48,1,1.0
IOT-0000007,SENS-0166,water,Green,40.735086,-74.012322,2024-04-09 09:01:52,11.16,30.8,50,195,28.259,745.1,25,85.7,81.5,20.1,-46,0,0.61
IOT-0000008,SENS-0306,pedestrian,Restricted,40.506654,-74.12795,2024-06-15 01:14:34,10.03,73.7,388,194,34.686,158.7,82,45.6,40.1,17.4,-50,0,0.91
IOT-0000009,SENS-0170,temperature,Transit,40.720948,-73.808193,2023-10-10 06:37:11,22.88,85.5,425,155,11.675,302.7,260,49.6,28.5,47.1,-49,1,0.65
IOT-0000010,SENS-0321,water,Government,40.855194,-73.920477,2024-05-26 11:46:47,21.04,31.3,482,50,38.895,82.0,0,,35.6,64.9,-52,0,0.94
IOT-0000011,SENS-0028,water,Government,40.585552,-73.981593,2023-05-19 07:15:28,17.23,24.7,288,128,29.308,503.3,167,88.1,96.3,43.0,-40,0,0.66
IOT-0000012,SENS-0308,noise,Transit,40.893131,-74.234047,2023-01-21 08:12:44,13.81,77.7,227,127,5.885,449.7,55,38.1,10.9,54.3,-91,0,0.76
IOT-0000013,SENS-0440,air_quality,Government,40.8069,-73.76308,2024-12-26 10:33:05,27.96,21.2,10,160,42.255,105.4,46,78.2,31.9,44.4,-71,0,0.87
IOT-0000014,SENS-0038,traffic,Residential,40.905408,-73.777773,2023-01-02 16:24:43,14.99,26.7,360,20,14.227,174.6,272,102.9,99.1,99.9,-66,1,0.67
IOT-0000015,SENS-0093,pedestrian,Industrial,40.59342,-73.70996,2024-09-21 09:32:54,19.64,56.4,39,138,32.702,695.3,111,65.8,59.5,86.4,-83,0,0.88
IOT-0000016,SENS-0047,water,Green,40.73214,-74.032998,2024-10-10 18:42:07,1.69,54.4,466,184,29.546,602.9,263,95.4,51.2,92.5,-96,1,0.84
IOT-0000017,SENS-0270,parking,Industrial,40.883558,-73.783012,2023-07-13 05:43:43,26.07,58.5,366,113,18.105,203.7,22,59.4,9.8,66.2,-56,0,0.78
IOT-0000018,SENS-0270,energy,Mixed Use,40.580758,-73.764594,2023-04-15 23:37:34,48.5,52.4,285,,42.221,346.6,45,58.7,,51.3,-87,1,0.9
IOT-0000019,SENS-0292,pedestrian,Industrial,40.549283,-74.03247,2024-10-30 08:43:01,12.76,36.4,266,106,7.289,210.7,191,79.8,5.9,17.6,-56,0,0.97
IOT-0000020,SENS-0081,parking,Green,40.553994,-73.939962,2023-08-09 00:29:06,14.9,77.2,481,57,17.651,251.1,111,41.5,,42.1,-95,0,0.98
IOT-0000021,SENS-0182,air_quality,Restricted,40.568005,-73.782766,2023-12-04 23:46:41,24.84,66.5,394,77,24.697,923.9,20,108.0,79.6,50.7,-102,0,0.9
IOT-0000022,SENS-0402,noise,Transit,40.734398,-73.913547,2024-01-20 00:20:50,4.91,24.3,228,64,1.694,623.4,236,40.5,32.3,16.0,-63,1,0.91
IOT-0000023,SENS-0183,traffic,Green,40.686114,-73.843556,2023-04-19 00:11:05,11.86,48.5,478,77,27.507,977.8,126,35.8,56.4,16.0,-80,0,0.92
IOT-0000024,SENS-0414,energy,Green,40.52582,-73.800014,2023-08-11 03:31:05,25.28,58.6,10,190,42.453,807.5,217,106.3,22.7,75.3,-97,1,0.87
IOT-0000025,SENS-0237,noise,Government,40.813604,-74.121829,2023-08-10 16:53:56,28.22,86.8,62,179,24.98,707.6,253,97.3,84.7,45.6,-65,1,0.82
IOT-0000026,SENS-0110,noise,Government,40.514254,-73.800177,2023-02-11 04:46:12,14.18,52.9,273,59,47.404,891.6,236,59.8,8.3,65.1,-74,1,0.97
IOT-0000027,SENS-0028,traffic,Government,40.697447,-73.854019,2023-11-29 12:48:02,13.51,44.0,215,125,11.414,444.9,124,92.3,49.2,48.3,-59,0,0.81
IOT-0000028,SENS-0411,water,Residential,40.907771,-74.242893,2023-07-13 10:16:06,7.67,22.6,134,187,33.04,485.0,159,,26.6,41.4,-84,0,0.97
IOT-0000029,SENS-0452,water,Industrial,40.687565,-73.968394,2024-01-14 16:38:31,11.73,83.9,481,84,9.394,564.6,80,80.2,77.3,76.5,-108,0,0.98
IOT-0000030,SENS-0317,parking,Mixed Use,40.802088,-73.94084,2024-08-01 09:39:41,,41.6,49,,28.872,851.3,83,104.1,93.4,51.1,-71,0,0.94
IOT-0000031,SENS-0139,air_quality,Green,40.677672,-73.885555,2023-11-08 23:42:54,21.45,23.1,151,136,43.83,356.2,254,96.0,95.4,25.0,-96,1,0.84
IOT-0000032,SENS-0215,pedestrian,Green,40.599291,-73.719612,2024-01-20 15:05:30,21.51,26.1,130,88,23.383,399.0,61,71.9,31.3,29.9,-46,0,0.95
IOT-0000033,SENS-0379,parking,Transit,40.881507,-74.012332,2024-09-29 21:17:29,22.58,92.8,196,191,38.316,394.2,154,45.2,88.1,27.6,-70,0,0.89
IOT-0000034,SENS-0274,noise,Residential,40.842038,-74.232942,2024-11-20 18:41:08,15.57,35.6,390,89,29.338,148.3,226,40.8,84.3,79.4,-49,1,0.65
IOT-0000035,SENS-0387,parking,Transit,40.610502,-74.219764,2024-10-28 01:57:31,22.85,44.9,272,74,18.81,769.8,134,55.8,54.7,85.0,-44,0,0.73
IOT-0000036,SENS-0156,parking,Mixed Use,40.54129,-73.985251,2024-09-10 05:44:33,14.54,93.9,352,53,19.508,387.3,,55.4,47.9,5.5,-50,0,0.78
