session_id,station_name,line,session_date,session_hour,duration_min,data_mb,anonymised_user_token,device_type,os_type,gdpr_consent,retention_flag,data_tier
TFL-0000001,King's Cross,Victoria,2023-06-24,17,62,455.71,TFL-124558-ANON,Mobile,iOS,No,Purged,Public
TFL-0000002,Heathrow T1,Circle,2024-10-05,11,42,285.09,TFL-673860-ANON,Mobile,Windows,No,Purged,Public
TFL-0000003,London Bridge,Victoria,2023-09-01,15,20,408.8,TFL-743867-ANON,Tablet,macOS,Yes,Retain,Public
TFL-0000004,Euston,Victoria,2024-04-29,11,113,278.82,TFL-149025-ANON,Tablet,macOS,Yes,Purged,Sensitive
TFL-0000005,Stratford,Circle,2023-05-29,20,82,159.99,TFL-324013-ANON,Tablet,Windows,Yes,Retain,Public
TFL-0000006,Waterloo,Victoria,2024-03-06,19,84,61.05,TFL-956932-ANON,Laptop,iOS,No,Purge_Pending,Public
TFL-0000007,Waterloo,Northern,2023-09-09,22,54,287.44,TFL-846651-ANON,Mobile,Windows,No,Purge_Pending,Sensitive
TFL-0000008,London Bridge,Northern,2023-01-26,13,105,16.6,TFL-163847-ANON,Tablet,macOS,Yes,Purge_Pending,Sensitive
TFL-0000009,King's Cross,Circle,2024-01-17,0,68,309.36,TFL-164479-ANON,Mobile,iOS,No,Purged,Public
TFL-0000010,London Bridge,Jubilee,2023-09-09,11,26,314.7,TFL-166060-ANON,Laptop,Android,No,Retain,Sensitive
TFL-0000011,Stratford,District,2024-10-13,21,72,472.72,TFL-933998-ANON,Tablet,iOS,No,Purged,Internal
TFL-0000012,Paddington,Elizabeth,2023-12-21,20,64,14.75,TFL-888013-ANON,Laptop,Android,Yes,Purged,Public
TFL-0000013,Canary Wharf,Central,2024-08-08,16,84,86.71,TFL-918171-ANON,Tablet,Windows,No,Purged,Sensitive
TFL-0000014,Stratford,Jubilee,2023-08-05,14,70,420.05,TFL-309371-ANON,Laptop,Windows,No,Purge_Pending,Public
TFL-0000015,Liverpool Street,Victoria,2024-08-06,18,108,62.68,TFL-814214-ANON,Laptop,Windows,No,Retain,Sensitive
TFL-0000016,Canary Wharf,District,2023-08-22,4,53,240.42,TFL-435608-ANON,Tablet,macOS,Yes,Retain,Internal
TFL-0000017,Canary Wharf,Piccadilly,2024-06-12,10,87,308.15,TFL-532412-ANON,Laptop,macOS,Yes,Retain,Sensitive
TFL-0000018,Paddington,Central,2024-11-12,16,111,37.14,TFL-199409-ANON,Mobile,Windows,No,Purged,Internal
TFL-0000019,Liverpool Street,Central,2024-08-23,18,53,403.23,TFL-930425-ANON,Mobile,Windows,No,Purge_Pending,Internal
TFL-0000020,Stratford,Circle,2024-02-20,17,116,277.65,TFL-831063-ANON,Mobile,Android,Yes,Purged,Internal
TFL-0000021,King's Cross,Victoria,2024-01-27,14,29,353.91,TFL-187919-ANON,Mobile,iOS,Yes,Retain,Public
TFL-0000022,Waterloo,Piccadilly,2023-05-07,0,23,90.93,TFL-813646-ANON,Tablet,Windows,No,Retain,Internal
TFL-0000023,Canary Wharf,Central,2023-09-10,6,101,155.85,TFL-724743-ANON,Mobile,iOS,No,Purge_Pending,Public
TFL-0000024,Euston,Elizabeth,2023-04-14,3,26,192.08,TFL-289851-ANON,Laptop,Android,Yes,Retain,Sensitive
TFL-0000025,Euston,Elizabeth,2023-09-16,23,101,142.52,TFL-138758-ANON,Mobile,Android,No,Retain,Sensitive
TFL-0000026,Victoria,Victoria,2023-06-18,6,19,480.0,TFL-101869-ANON,Laptop,Android,Yes,Retain,Public
TFL-0000027,Liverpool Street,District,2023-01-12,3,95,127.49,TFL-511817-ANON,Laptop,iOS,Yes,Retain,Sensitive
TFL-0000028,Paddington,Central,2023-06-09,19,25,192.24,TFL-713690-ANON,Tablet,Android,Yes,Retain,Sensitive
TFL-0000029,Liverpool Street,Piccadilly,2024-09-05,6,55,213.2,TFL-651445-ANON,Tablet,macOS,Yes,Retain,Sensitive
TFL-0000030,Stratford,Jubilee,2023-11-08,19,5,402.9,TFL-154196-ANON,Tablet,Android,No,Purged,Internal
TFL-0000031,Euston,District,2024-01-14,12,53,2.85,TFL-824002-ANON,Mobile,Android,No,Retain,Public
TFL-0000032,King's Cross,District,2023-03-07,16,118,202.91,TFL-249497-ANON,Tablet,iOS,Yes,Purged,Sensitive
TFL-0000033,Euston,Northern,2024-08-30,17,28,389.3,TFL-443667-ANON,Mobile,macOS,Yes,Purged,Public
TFL-0000034,Victoria,Jubilee,2023-11-03,10,8,114.17,TFL-812757-ANON,Laptop,macOS,Yes,Purged,Internal
TFL-0000035,Waterloo,Circle,2024-11-27,2,44,359.51,TFL-655100-ANON,Laptop,Windows,No,Retain,Public
TFL-0000036,Victoria,Piccadilly,2024-03-30,13,54,300.5,TFL-549786-ANON,Laptop,macOS,No,Purged,Internal
TFL-0000037,Victoria,Piccadilly,2023-05-28,1,30,496.9,TFL-984395-ANON,Tablet,macOS,No,Retain,Internal
TFL-0000038,Liverpool Street,District,2024-11-11,21,14,482.82,TFL-868493-ANON,Laptop,macOS,No,Purged,Public
TFL-0000039,Paddington,Victoria,2024-10-14,3,58,28.33,TFL-353631-ANON,Tablet,iOS,No,Purged,Internal
TFL-0000040,Victoria,Victoria,2024-12-06,3,45,294.07,TFL-226522-ANON,Laptop,macOS,Yes,Purged,Sensitive
TFL-0000041,Paddington,Circle,2024-02-21,6,69,142.15,TFL-524916-ANON,Mobile,Windows,No,Retain,Public
TFL-0000042,Liverpool Street,District,2024-11-03,11,30,488.74,TFL-877038-ANON,Mobile,Android,No,Purge_Pending,Public
TFL-0000043,Canary Wharf,Circle,2024-08-27,12,75,292.23,TFL-519407-ANON,Mobile,iOS,Yes,Purged,Public
TFL-0000044,Euston,Victoria,2024-02-10,3,1,457.93,TFL-277224-ANON,Laptop,Android,Yes,Purged,Sensitive
TFL-0000045,Waterloo,District,2023-06-27,2,75,340.58,TFL-854992-ANON,Tablet,Windows,No,Purged,Public
TFL-0000046,Paddington,Central,2023-09-15,13,114,215.84,TFL-647969-ANON,Mobile,Windows,Yes,Purge_Pending,Internal
TFL-0000047,Heathrow T1,Northern,2023-11-05,9,32,125.26,TFL-579014-ANON,Mobile,Android,Yes,Purged,Internal
TFL-0000048,Canary Wharf,Central,2024-08-02,1,66,451.48,TFL-159784-ANON,Laptop,Windows,No,Purged,Internal
TFL-0000049,Victoria,Central,2024-05-18,5,21,84.65,TFL-264847-ANON,Tablet,macOS,No,Purge_Pending,Public
TFL-0000050,Stratford,Victoria,2024-01-30,13,11,425.38,TFL-750325-ANON,Laptop,macOS,Yes,Purged,Public
